CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI2270,exponential,TL,38,2759,1094,86612.1300909964,34343.4832618884,0,0,31.3925806781429,1,0
CI2270,exponential,TL,39,2738,1112,85952.8858967554,34908.549714095,NaN,NaN,31.3925806781429,1,0
CI2270,exponential,TL,40,3276,3065,102842.094301596,96218.2597785081,0,0,31.3925806781429,1,0
CI2270,exponential,TL,1,2325,3003,72987.7500766824,94271.9197764633,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,2,2323,2337,72924.9649153261,73364.4610448201,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,3,2436,1497,76472.3265319562,46994.69327518,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,4,2405,1525,75499.1565309338,47873.685534168,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,5,2376,2318,74588.7716912676,72768.0020119354,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,6,2450,2431,76911.8226614502,76315.3636285655,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,7,2487,1091,78073.3481465415,34249.305519854,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,8,2536,1333,79611.5845997705,41846.3100439645,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,9,2536,1527,79611.5845997705,47936.4706955243,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,10,2621,1040,82279.9539574127,32648.2839052687,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,11,2653,1196,83284.5165391132,37545.526491059,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,12,2977,1496,93455.7126788316,46963.3006945018,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,13,3120,1793,97944.851715806,56286.8971559103,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,14,3129,1746,98227.3849419093,54811.4458640376,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,15,3171,1235,99545.8733303913,38769.8371375065,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,16,3311,1105,103940.834625331,34688.801649348,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,17,3471,1504,108963.647533834,47214.441339927,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,18,3474,1697,109057.825275869,53273.2094108086,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,19,3980,1607,124942.471099009,50447.8771497757,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,20,4103,2116,128803.758522421,66426.7007149505,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,21,3565,1337,111914.55011758,41971.8803666771,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,22,3715,1805,116623.437219301,56663.608124048,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,23,3438,1837,107927.692371455,57668.1707057486,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,24,4358,1706,136808.866595347,53555.7426369119,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,25,4283,1749,134454.423044486,54905.623606072,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,26,3927,2485,123278.664323067,78010.5629851852,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,27,3587,2649,112605.186892499,83158.9462164007,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,28,1976,2278,62031.7394200105,71512.2987848096,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,29,2129,2851,66834.8042637663,89500.2475133855,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,30,2903,1922,91132.661708649,60336.5400633907,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,31,2647,2077,83096.1610550444,65202.3900685029,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,32,2122,1446,66615.0561990193,45393.6716605947,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,33,4284,1384,134485.815625164,43447.3316585498,NaN,NaN,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,34,3933,1187,123467.019807136,37262.9932649557,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,35,3338,762,104788.434303641,23921.1464767449,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,36,2701,1104,84791.3604116641,34657.4090686698,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,37,2733,1082,85795.9229933647,33966.7722937507,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,38,2759,1094,86612.1300909964,34343.4832618884,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,39,2738,1112,85952.8858967554,34908.549714095,NaN,NaN,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,40,3276,3065,102842.094301596,96218.2597785081,0,0,31.3925806781429,2,0.166666666666667
CI2270,exponential,TL,1,2325,3003,72987.7500766824,94271.9197764633,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,2,2323,2337,72924.9649153261,73364.4610448201,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,3,2436,1497,76472.3265319562,46994.69327518,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,4,2405,1525,75499.1565309338,47873.685534168,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,5,2376,2318,74588.7716912676,72768.0020119354,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,6,2450,2431,76911.8226614502,76315.3636285655,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,7,2487,1091,78073.3481465415,34249.305519854,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,8,2536,1333,79611.5845997705,41846.3100439645,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,9,2536,1527,79611.5845997705,47936.4706955243,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,10,2621,1040,82279.9539574127,32648.2839052687,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,11,2653,1196,83284.5165391132,37545.526491059,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,12,2977,1496,93455.7126788316,46963.3006945018,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,13,3120,1793,97944.851715806,56286.8971559103,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,14,3129,1746,98227.3849419093,54811.4458640376,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,15,3171,1235,99545.8733303913,38769.8371375065,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,16,3311,1105,103940.834625331,34688.801649348,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,17,3471,1504,108963.647533834,47214.441339927,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,18,3474,1697,109057.825275869,53273.2094108086,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,19,3980,1607,124942.471099009,50447.8771497757,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,20,4103,2116,128803.758522421,66426.7007149505,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,21,3565,1337,111914.55011758,41971.8803666771,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,22,3715,1805,116623.437219301,56663.608124048,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,23,3438,1837,107927.692371455,57668.1707057486,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,24,4358,1706,136808.866595347,53555.7426369119,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,25,4283,1749,134454.423044486,54905.623606072,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,26,3927,2485,123278.664323067,78010.5629851852,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,27,3587,2649,112605.186892499,83158.9462164007,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,28,1976,2278,62031.7394200105,71512.2987848096,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,29,2129,2851,66834.8042637663,89500.2475133855,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,30,2903,1922,91132.661708649,60336.5400633907,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,31,2647,2077,83096.1610550444,65202.3900685029,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,32,2122,1446,66615.0561990193,45393.6716605947,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,33,4284,1384,134485.815625164,43447.3316585498,NaN,NaN,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,34,3933,1187,123467.019807136,37262.9932649557,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,35,3338,762,104788.434303641,23921.1464767449,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,36,2701,1104,84791.3604116641,34657.4090686698,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,37,2733,1082,85795.9229933647,33966.7722937507,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,38,2759,1094,86612.1300909964,34343.4832618884,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,39,2738,1112,85952.8858967554,34908.549714095,NaN,NaN,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,40,3276,3065,102842.094301596,96218.2597785081,0,0,31.3925806781429,3,0.333333333333333
CI2270,exponential,TL,1,2325,3003,72987.7500766824,94271.9197764633,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,2,2323,2337,72924.9649153261,73364.4610448201,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,3,2436,1497,76472.3265319562,46994.69327518,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,4,2405,1525,75499.1565309338,47873.685534168,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,5,2376,2318,74588.7716912676,72768.0020119354,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,6,2450,2431,76911.8226614502,76315.3636285655,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,7,2487,1091,78073.3481465415,34249.305519854,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,8,2536,1333,79611.5845997705,41846.3100439645,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,9,2536,1527,79611.5845997705,47936.4706955243,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,10,2621,1040,82279.9539574127,32648.2839052687,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,11,2653,1196,83284.5165391132,37545.526491059,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,12,2977,1496,93455.7126788316,46963.3006945018,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,13,3120,1793,97944.851715806,56286.8971559103,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,14,3129,1746,98227.3849419093,54811.4458640376,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,15,3171,1235,99545.8733303913,38769.8371375065,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,16,3311,1105,103940.834625331,34688.801649348,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,17,3471,1504,108963.647533834,47214.441339927,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,18,3474,1697,109057.825275869,53273.2094108086,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,19,3980,1607,124942.471099009,50447.8771497757,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,20,4103,2116,128803.758522421,66426.7007149505,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,21,3565,1337,111914.55011758,41971.8803666771,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,22,3715,1805,116623.437219301,56663.608124048,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,23,3438,1837,107927.692371455,57668.1707057486,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,24,4358,1706,136808.866595347,53555.7426369119,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,25,4283,1749,134454.423044486,54905.623606072,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,26,3927,2485,123278.664323067,78010.5629851852,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,27,3587,2649,112605.186892499,83158.9462164007,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,28,1976,2278,62031.7394200105,71512.2987848096,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,29,2129,2851,66834.8042637663,89500.2475133855,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,30,2903,1922,91132.661708649,60336.5400633907,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,31,2647,2077,83096.1610550444,65202.3900685029,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,32,2122,1446,66615.0561990193,45393.6716605947,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,33,4284,1384,134485.815625164,43447.3316585498,NaN,NaN,31.3925806781429,4,0.5
CI2270,exponential,TL,34,3933,1187,123467.019807136,37262.9932649557,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,35,3338,762,104788.434303641,23921.1464767449,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,36,2701,1104,84791.3604116641,34657.4090686698,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,37,2733,1082,85795.9229933647,33966.7722937507,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,38,2759,1094,86612.1300909964,34343.4832618884,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,39,2738,1112,85952.8858967554,34908.549714095,NaN,NaN,31.3925806781429,4,0.5
CI2270,exponential,TL,40,3276,3065,102842.094301596,96218.2597785081,0,0,31.3925806781429,4,0.5
CI2270,exponential,TL,1,2325,3003,72987.7500766824,94271.9197764633,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,2,2323,2337,72924.9649153261,73364.4610448201,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,3,2436,1497,76472.3265319562,46994.69327518,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,4,2405,1525,75499.1565309338,47873.685534168,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,5,2376,2318,74588.7716912676,72768.0020119354,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,6,2450,2431,76911.8226614502,76315.3636285655,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,7,2487,1091,78073.3481465415,34249.305519854,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,8,2536,1333,79611.5845997705,41846.3100439645,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,9,2536,1527,79611.5845997705,47936.4706955243,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,10,2621,1040,82279.9539574127,32648.2839052687,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,11,2653,1196,83284.5165391132,37545.526491059,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,12,2977,1496,93455.7126788316,46963.3006945018,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,13,3120,1793,97944.851715806,56286.8971559103,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,14,3129,1746,98227.3849419093,54811.4458640376,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,15,3171,1235,99545.8733303913,38769.8371375065,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,16,3311,1105,103940.834625331,34688.801649348,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,17,3471,1504,108963.647533834,47214.441339927,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,18,3474,1697,109057.825275869,53273.2094108086,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,19,3980,1607,124942.471099009,50447.8771497757,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,20,4103,2116,128803.758522421,66426.7007149505,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,21,3565,1337,111914.55011758,41971.8803666771,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,22,3715,1805,116623.437219301,56663.608124048,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,23,3438,1837,107927.692371455,57668.1707057486,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,24,4358,1706,136808.866595347,53555.7426369119,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,25,4283,1749,134454.423044486,54905.623606072,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,26,3927,2485,123278.664323067,78010.5629851852,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,27,3587,2649,112605.186892499,83158.9462164007,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,28,1976,2278,62031.7394200105,71512.2987848096,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,29,2129,2851,66834.8042637663,89500.2475133855,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,30,2903,1922,91132.661708649,60336.5400633907,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,31,2647,2077,83096.1610550444,65202.3900685029,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,32,2122,1446,66615.0561990193,45393.6716605947,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,33,4284,1384,134485.815625164,43447.3316585498,NaN,NaN,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,34,3933,1187,123467.019807136,37262.9932649557,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,35,3338,762,104788.434303641,23921.1464767449,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,36,2701,1104,84791.3604116641,34657.4090686698,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,37,2733,1082,85795.9229933647,33966.7722937507,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,38,2759,1094,86612.1300909964,34343.4832618884,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,39,2738,1112,85952.8858967554,34908.549714095,NaN,NaN,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,40,3276,3065,102842.094301596,96218.2597785081,0,0,31.3925806781429,5,0.666666666666667
CI2270,exponential,TL,1,2325,3003,72987.7500766824,94271.9197764633,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,2,2323,2337,72924.9649153261,73364.4610448201,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,3,2436,1497,76472.3265319562,46994.69327518,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,4,2405,1525,75499.1565309338,47873.685534168,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,5,2376,2318,74588.7716912676,72768.0020119354,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,6,2450,2431,76911.8226614502,76315.3636285655,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,7,2487,1091,78073.3481465415,34249.305519854,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,8,2536,1333,79611.5845997705,41846.3100439645,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,9,2536,1527,79611.5845997705,47936.4706955243,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,10,2621,1040,82279.9539574127,32648.2839052687,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,11,2653,1196,83284.5165391132,37545.526491059,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,12,2977,1496,93455.7126788316,46963.3006945018,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,13,3120,1793,97944.851715806,56286.8971559103,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,14,3129,1746,98227.3849419093,54811.4458640376,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,15,3171,1235,99545.8733303913,38769.8371375065,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,16,3311,1105,103940.834625331,34688.801649348,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,17,3471,1504,108963.647533834,47214.441339927,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,18,3474,1697,109057.825275869,53273.2094108086,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,19,3980,1607,124942.471099009,50447.8771497757,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,20,4103,2116,128803.758522421,66426.7007149505,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,21,3565,1337,111914.55011758,41971.8803666771,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,22,3715,1805,116623.437219301,56663.608124048,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,23,3438,1837,107927.692371455,57668.1707057486,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,24,4358,1706,136808.866595347,53555.7426369119,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,25,4283,1749,134454.423044486,54905.623606072,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,26,3927,2485,123278.664323067,78010.5629851852,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,27,3587,2649,112605.186892499,83158.9462164007,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,28,1976,2278,62031.7394200105,71512.2987848096,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,29,2129,2851,66834.8042637663,89500.2475133855,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,30,2903,1922,91132.661708649,60336.5400633907,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,31,2647,2077,83096.1610550444,65202.3900685029,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,32,2122,1446,66615.0561990193,45393.6716605947,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,33,4284,1384,134485.815625164,43447.3316585498,NaN,NaN,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,34,3933,1187,123467.019807136,37262.9932649557,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,35,3338,762,104788.434303641,23921.1464767449,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,36,2701,1104,84791.3604116641,34657.4090686698,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,37,2733,1082,85795.9229933647,33966.7722937507,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,38,2759,1094,86612.1300909964,34343.4832618884,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,39,2738,1112,85952.8858967554,34908.549714095,NaN,NaN,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,40,3276,3065,102842.094301596,96218.2597785081,0,0,31.3925806781429,6,0.833333333333333
CI2270,exponential,TL,1,2325,3003,72987.7500766824,94271.9197764633,0,0,31.3925806781429,7,1
CI2270,exponential,TL,2,2323,2337,72924.9649153261,73364.4610448201,0,0,31.3925806781429,7,1
CI2270,exponential,TL,3,2436,1497,76472.3265319562,46994.69327518,0,0,31.3925806781429,7,1
CI2270,exponential,TL,4,2405,1525,75499.1565309338,47873.685534168,0,0,31.3925806781429,7,1
CI2270,exponential,TL,5,2376,2318,74588.7716912676,72768.0020119354,0,0,31.3925806781429,7,1
CI2270,exponential,TL,6,2450,2431,76911.8226614502,76315.3636285655,0,0,31.3925806781429,7,1
CI2270,exponential,TL,7,2487,1091,78073.3481465415,34249.305519854,0,0,31.3925806781429,7,1
CI2270,exponential,TL,8,2536,1333,79611.5845997705,41846.3100439645,0,0,31.3925806781429,7,1
